Points,Holes Left,Win Probability,Tie Probability
0,9,,
0,10,,
0,11,,
0,12,,
0,13,,
0,14,,
0,15,,
0,16,,
0,17,,
0,18,,
0.5,9,,
0.5,10,,
0.5,11,,
0.5,12,,
0.5,13,,
0.5,14,,
0.5,15,,
0.5,16,,
0.5,17,,
1,8,,
1,9,,
1,10,,
1,11,,
1,12,,
1,13,,
1,14,,
1,15,,
1,16,,
1,17,,
1.5,8,,
1.5,9,,
1.5,10,,
1.5,11,,
1.5,12,,
1.5,13,,
1.5,14,,
1.5,15,,
1.5,16,,
2,7,,
2,8,,
2,9,,
2,10,,
2,11,,
2,12,,
2,13,,
2,14,,
2,15,,
2,16,,
2.5,7,,
2.5,8,,
2.5,9,,
2.5,10,,
2.5,11,,
2.5,12,,
2.5,13,,
2.5,14,,
2.5,15,,
3,6,,
3,7,,
3,8,,
3,9,,
3,10,,
3,11,,
3,12,,
3,13,,
3,14,,
3,15,,
3.5,6,,
3.5,7,,
3.5,8,,
3.5,9,,
3.5,10,,
3.5,11,,
3.5,12,,
3.5,13,,
3.5,14,,
4,5,,
4,6,,
4,7,,
4,8,,
4,9,,
4,10,,
4,11,,
4,12,,
4,13,,
4,14,,
4.5,5,,
4.5,6,,
4.5,7,,
4.5,8,,
4.5,9,,
4.5,10,,
4.5,11,,
4.5,12,,
4.5,13,,
5,4,,
5,5,,
5,6,,
5,7,,
5,8,,
5,9,,
5,10,,
5,11,,
5,12,,
5,13,,
5.5,4,,
5.5,5,,
5.5,6,,
5.5,7,,
5.5,8,,
5.5,9,,
5.5,10,,
5.5,11,,
5.5,12,,
6,3,,
6,4,,
6,5,,
6,6,,
6,7,,
6,8,,
6,9,,
6,10,,
6,11,,
6,12,,
6.5,3,,
6.5,4,,
6.5,5,,
6.5,6,,
6.5,7,,
6.5,8,,
6.5,9,,
6.5,10,,
6.5,11,,
7,2,,
7,3,,
7,4,,
7,5,,
7,6,,
7,7,,
7,8,,
7,9,,
7,10,,
7,11,,
7.5,2,,
7.5,3,,
7.5,4,,
7.5,5,,
7.5,6,,
7.5,7,,
7.5,8,,
7.5,9,,
7.5,10,,
8,1,,
8,2,,
8,3,,
8,4,,
8,5,,
8,6,,
8,7,,
8,8,,
8,9,,
8,10,,
8.5,1,,
8.5,2,,
8.5,3,,
8.5,4,,
8.5,5,,
8.5,6,,
8.5,7,,
8.5,8,,
8.5,9,,
9,1,,
9,2,,
9,3,,
9,4,,
9,5,,
9,6,,
9,7,,
9,8,,
9,9,,